ID,Player,Team,Position,RkOv,Status,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*06mmh*,Isaac Jones,SAC,"F,Flx",432,FA,416,10.4,40,29,3,13,134,22,57,12,5,10,16,0,0,0,0
*06mlg*,Tyler Kolek,NY,"G,Flx",433,FA,414,10.1,41,55,14,4,81,8,27,70,12,4,18,0,0,0,0
*06cdg*,Maxwell Lewis,BKN,"F,Flx",434,FA,399,14.25,28,63,19,3,116,18,55,19,9,7,14,0,0,0,0
*06cd1*,Jordan Walsh,BOS,"F,Flx",435,FA,398,7.65,52,53,15,5,82,23,69,19,12,11,17,0,0,0,0
*06hfb*,Damion Baugh,CHA,"G,Flx",436,FA,394,26.27,15,88,12,2,109,14,50,56,15,2,31,0,0,0,0
*0633h*,Pat Spencer,GS,"G,Flx",437,FA,392,10.05,39,60,5,4,98,15,46,48,14,3,18,1,0,0,0
*05ujq*,Luka Garza,BOS,"C,Flx",438,FA,385,9.87,39,53,10,11,138,31,54,11,6,3,12,0,0,0,0
*06mlz*,Cam Spencer,MEM,"G,Flx",439,FA,381,15.24,25,48,19,0,106,12,30,34,9,1,6,2,0,0,0
*063d0*,Jared Rhoden,TOR,"G,Flx",440,FA,379,27.07,14,45,12,3,118,14,42,16,10,2,9,0,0,0,1
*03avi*,Doug McDermott,SAC,"F,Flx",441,FA,378,9,42,67,44,2,147,3,22,7,4,2,6,0,0,0,0
*01eog*,Patty Mills,LAC,"G,Flx",442,FA,361,12.45,29,60,26,1,111,4,22,26,13,3,17,0,0,0,0
*06rui*,Marcus Bagley,PHI,"F,Flx",443,FA,352,35.2,10,42,5,2,67,23,70,10,9,12,7,0,0,0,2
*06ca2*,Kobe Brown,LAC,"F,Flx",444,FA,347,8.68,40,39,6,2,77,19,65,24,7,4,12,0,0,0,0
*06cf3*,Drew Timme,BKN,"F,Flx",445,FA,342,38,9,57,9,6,109,17,65,20,4,1,15,0,0,0,3
*06pvu*,Alex Reese,PHI,"F,Flx",446,FA,341,22.73,15,28,15,3,76,9,47,4,10,10,6,0,0,0,0
*06cd5*,Isaiah Wong,(N/A),"G,Flx",447,FA,334,16.7,20,64,13,9,120,14,32,28,11,0,18,0,0,0,0
*06ccc*,Dariq Whitehead,BKN,"F,Flx",449,FA,319,15.95,20,57,33,2,114,4,29,12,6,1,15,0,0,0,0
